"薬品名","棚番1","棚番2","棚番3","棚番4","棚番5","棚番6","棚番7"
"アテノロール錠２５ｍｇ「トーワ」","C20","","","","","",""
"アデホスコーワ腸溶錠２０","C20","","","","","",""
"アデホスコーワ顆粒１０％","E3","","","","","",""
"アデホスコーワ腸溶錠６０(６０ｍｇ)","C20","","","","","",""
"アテレック錠１０","C20","","","","","",""
"アテレック錠５","C20","","","","","",""
"アドエア１００ディスカス６０吸入用","E9","","","","","",""
"アドエア１２５エアゾール１２０吸入用","E9","","","","","",""
"アドエア２５０ディスカス６０吸入用","E9","","","","","",""
"アドナ錠１０ｍｇ","C20","","","","","",""
"アドナ錠３０ｍｇ","C20","","","","","",""
"アドフィードパップ４０ｍｇ","I4","G3","","","","",""
"アトラントクリーム１％","C3","","","","","",""
"アトルバスタチン錠１０ｍｇ「サワイ」","C20","P","","","","",""
"アトルバスタチン錠５ｍｇ「サワイ」","C20","","","","","",""
"アナストロゾール錠１ｍｇ「サワイ」","E15","","","","","",""
"ｱﾆｭｲﾃｨ100μgｴﾘﾌﾟﾀ30吸入用","E9","","","","","",""
"アノーロエリプタ３０吸入用","E9","","","","","",""
"アバプロ錠１００ｍｇ","C20","","","","","",""
"アピドラ注ソロスター","F","","","","","",""
"アブストラル舌下錠１００μｇ","E6","","","","","",""
"アフタッチ口腔用貼付剤２５μｇ","C6","","","","","",""
"アフタゾロン口腔用軟膏０．１％","C6","N1","","","","",""
"アポカイン皮下注３０ｍｇ","N3","","","","","",""
"アポハイドローション２０％","G10","","","","","",""
"アボルブカプセル０．５ｍｇ","E15","","","","","",""
"アマリール０．５ｍｇ錠","E15","","","","","",""
"アマルエット配合錠３番「ＤＳＥＰ」","E15","","","","","",""
"アマルエット配合錠４番「サンド」","E15","","","","","",""
"アマンタジン塩酸塩錠５０ｍｇ「サワイ」","C20","","","","","",""
"ｱﾐｵﾀﾞﾛﾝ塩酸塩速崩錠100mg｢TE｣","E2","","","","","",""
"ｱﾐｵﾀﾞﾛﾝ塩酸塩速崩錠50mg｢TE｣","E2","","","","","",""
"アミティーザカプセル１２μｇ","C20","","","","","",""
"アミティーザカプセル２４μｇ","C20","","","","","",""
"ｱﾐﾄﾘﾌﾟﾁﾘﾝ塩酸塩錠10mg｢ｻﾜｲ｣","C20","","","","","",""
"アミノレバンＥＮ配合散","A4","","","","","",""
"アムバロ配合錠「サンド」","E15","","","","","",""
"アムロジピン錠２．５ｍｇ「あすか」","E14","P","","","","",""
"アムロジピン錠５ｍｇ「あすか」","E14","P","","","","",""
"アムロジピンＯＤ錠１０ｍｇ「あすか」","E14","","","","","",""
"アムロジンＯＤ錠２．５ｍｇ","E15","","","","","",""
