"薬品名","棚番1","棚番2","棚番3","棚番4","棚番5","棚番6","棚番7"
"オロパタジン塩酸塩錠５ｍｇ「明治」","C13","","","","","",""
"ｵﾛﾊﾟﾀｼﾞﾝ塩酸塩OD錠2.5mg｢明治｣","E11","","","","","",""
"オロパタジン点眼液０．１％「サンド」","E9","E10","","","","",""
"オングリザ錠５ｍｇ","C19","","","","","",""
"オンジェンティス錠２５ｍｇ","E15","","","","","",""
"ガスコン錠８０ｍｇ","C18","","","","","",""
"ガスター注射液２０ｍｇ","N3","","","","","",""
"ガスターＤ錠２０ｍｇ","C18","","","","","",""
"ガストローム顆粒６６．７％","E3","","","","","",""
"ガスモチン錠５ｍｇ","C18","","","","","",""
"ガスロンＮ錠２ｍｇ","C18","","","","","",""
"ガチフロ点眼液０．３％","E10","","","","","",""
"カデチア配合錠ＨＤ「あすか」","C18","","","","","",""
"カデチア配合錠ＬＤ「あすか」","C18","","","","","",""
"カデックス軟膏０．９％","","","","","","",""
"カトレップパップ７０ｍｇ","G3","I4","","","","",""
"カナグル錠１００ｍｇ","C18","","","","","",""
"カナリア配合錠","C18","","","","","",""
"カバサール錠０．２５ｍｇ","E15","","","","","",""
"ｶﾌﾟｾﾙ 2号(999999999970)","","","","","","",""
"カムシア配合錠ＨＤ「あすか」","E15","","","","","",""
"カムシア配合錠ＬＤ「あすか」","E15","","","","","",""
"ガランタミンＯＤ錠４ｍｇ「ＤＳＥＰ」","E15","","","","","",""
"ガランタミンＯＤ錠８ｍｇ「ＤＳＥＰ」","E15","P","","","","",""
"カリジノゲナーゼ錠５０単位「ＮＩＧ」","C18","","","","","",""
"カリメート経口液２０％","A5","","","","","",""
"カリメート散","A5","","","","","",""
"ｶﾙｼﾄﾘｵｰﾙｶﾌﾟｾﾙ0.25μg｢NIG｣","","","","","","",""
"ｶﾙｼﾄﾘｵｰﾙｶﾌﾟｾﾙ0.5μg｢ｻﾜｲ｣","E15","","","","","",""
"カルタンＯＤ錠５００ｍｇ","C18","","","","","",""
"ｶﾙﾃｵﾛｰﾙ塩酸塩LA点眼液2%｢わかもと｣","E10","","","","","",""
"カルナクリン錠２５","C18","","","","","",""
"カルナクリン錠５０(５０単位)","C18","","","","","",""
"カルバマゼピン錠１００ｍｇ「アメル」","C18","P","","","","",""
"カルバマゼピン錠２００ｍｇ「アメル」","C18","","","","","",""
"ｶﾙﾊﾞｿﾞｸﾛﾑｽﾙﾎﾝ酸Na錠30mg｢YD｣","C18","","","","","",""
"ｶﾙﾊﾞｿﾞｸﾛﾑｽﾙﾎﾝ酸ﾅﾄﾘｳﾑ錠30mg｢日医工｣","C18","","","","","",""
"カルベジロール錠１０ｍｇ「ＤＳＥＰ」","C18","P","","","","",""
"カルベジロール錠１０ｍｇ「サワイ」","C18","P","","","","",""
"カルベジロール錠１．２５ｍｇ「サワイ」","C18","","","","","",""
"カルベジロール錠２．５ｍｇ「ＤＳＥＰ」","C18","","","","","",""
"カルベジロール錠２．５ｍｇ「サワイ」","C18","P","","","","",""
"カルボシステイン錠２５０ｍｇ「トーワ」","C18","P","A6","","","",""
"カルボシステインシロップ５％「タカタ」","","","","","","",""
"カルボシステイン錠５００ｍｇ「ＪＧ」","P","","","","","",""
"カルボシステイン錠５００ｍｇ「ＮＩＧ」","C18","","","","","",""
"カルボシステイン錠５００ｍｇ「トーワ」","C18","","","","","",""
"カルボシステインＤＳ５０％「タカタ」","C10","","","","","",""
"カロナール錠２００","C18","P","","","","",""
"カロナール錠３００","C18","P","","","","",""
"カロナール錠５００","E15","P","","","","",""
"カロナール細粒２０％","C10","B4","","","","",""
"カロナール坐剤４００","F","","","","","",""
"カロナール細粒５０％","C10","B4","","","","",""
"カロナールシロップ２％","D1","","","","","",""
"カンデサルタン錠１２ｍｇ「あすか」","C18","","","","","",""
"カンデサルタン錠２ｍｇ「あすか」","C18","","","","","",""
"カンデサルタン錠４ｍｇ「あすか」","C18","P","","","","",""
"カンデサルタン錠８ｍｇ「あすか」","C18","","","","","",""
"キサラタン点眼液０．００５％","F","","","","","",""
"キシロカイン液「４％」","D3","","","","","",""
"キシロカインビスカス２％","","","","","","",""
"キシロカインビスカス２％（外用）","","","","","","",""
"キシロカインゼリー２％","C5","G10","N4","A2","","",""
"キックリンカプセル２５０ｍｇ","C18","","","","","",""
"キプレス錠５ｍｇ","C18","","","","","",""
"キャブピリン配合錠","C18","","","","","",""
"球形吸着炭細粒分包２ｇ「日医工」","A5","","","","","",""
"キンダベート軟膏０．０５％","C5","N1","","","","",""
"クービビック錠２５ｍｇ","C18","","","","","",""
"クービビック錠５０ｍｇ","C18","","","","","",""
"グーフィス錠５ｍｇ","C18","P","","","","",""
"クエチアピン錠１００ｍｇ「明治」","E15","","","","","",""
"クエチアピン錠１２．５ｍｇ「アメル」","E15","","","","","",""
"クエチアピン錠１２．５ｍｇ「明治」","E15","","","","","",""
"クエチアピン錠２５ｍｇ「明治」","E15","P","","","","",""
"クエチアピン錠２５ｍｇ「ＡＡ」","E15","P","","","","",""
"クエチアピン細粒５０％「アメル」","C10","","","","","",""
"クエンメット配合錠","C18","","","","","",""
"クエン酸第一鉄Ｎａ錠５０ｍｇ「ＪＧ」","C18","P","C21","","","",""
"クエン酸第一鉄Ｎａ錠５０ｍｇ「ＮＩＧ」","","","","","","",""
"グラアルファ配合点眼液","E10","","","","","",""
"グラクティブ錠５０ｍｇ","C18","","","","","",""
"グラクティブ錠２５ｍｇ","C18","","","","","",""
"クラシエ抑肝散加陳皮半夏エキス細粒","A3","","","","","",""
"グラナテック点眼液０．４％","E10","","","","","",""
"クラビット錠２５０ｍｇ","C18","","","","","",""
"クラビット錠５００ｍｇ","C18","","","","","",""
"クラビット点眼液０．５％","E10","","","","","",""
"ｸﾗﾘｽﾛﾏｲｼﾝ錠200mg｢ｻﾜｲ｣","C18","P","","","","",""
"ｸﾗﾘｽﾛﾏｲｼﾝ錠50mg小児用｢大正｣","C18","","","","","",""
"ｸﾗﾘｽﾛﾏｲｼﾝDS10%小児用｢ｻﾜｲ｣","C10","G11","","","","",""
"クラリシッド錠２００ｍｇ","C14","","","","","",""
"クラリチン錠１０ｍｇ","C18","","","","","",""
"クラリチンレディタブ錠１０ｍｇ","C18","","","","","",""
"グランダキシン錠５０","","","","","","",""
"グリクラジド錠２０ｍｇ「サワイ」","E15","","","","","",""
"グリコラン錠２５０ｍｇ","E15","","","","","",""
"ｸﾞﾘｾﾘﾝ浣腸液50%｢ｹﾝｴｰ｣50%60mL1個","A6","","","","","",""
"ｸﾞﾘｾﾘﾝ浣腸液50%｢ｹﾝｴｰ｣50%40mL1個","A6","","","","","",""
"ｸﾞﾘｾﾘﾝ浣腸液50%｢ｹﾝｴｰ｣50%30mL1個","A6","","","","","",""
"グリセリン浣腸「オヲタ」６０","A6","","","","","",""
"グリセリン浣腸液５０％「ムネ」６０ｍＬ","A6","","","","","",""
"グリセリン「ケンエー」","D2","","","","","",""
"ｸﾞﾘｾﾘﾝ浣腸液50%｢ｹﾝｴｰ｣(120mL)","A6","","","","","",""
"グリチロン配合錠","C18","","","","","",""
"グリミクロン錠４０ｍｇ","E15","","","","","",""
"グリメピリド錠０．５ｍｇ「ＮＰ」","E15","","","","","",""
"グリメピリド錠１ｍｇ「三和」","O","","","","","",""
"グリメピリド錠１ｍｇ「ＮＰ」","E15","P","","","","",""
"ｸﾘﾝﾀﾞﾏｲｼﾝﾘﾝ酸ｴｽﾃﾙｹﾞﾙ1%｢ｻﾜｲ｣","C7","N1","","","","",""
"ｸﾘﾝﾀﾞﾏｲｼﾝﾘﾝ酸ｴｽﾃﾙｹﾞﾙ1%｢ｲﾜｷ｣","C7","","","","","",""
"グレースビット錠５０ｍｇ","C18","","","","","",""
"クレナフィン爪外用液１０％","E7","","","","","",""
"クレメジン速崩錠５００ｍｇ","O","","","","","",""
"クレンブテロール錠１０μｇ「ハラサワ」","C18","","","","","",""
"クロチアゼパム錠５ｍｇ「サワイ」","E19","","","","","",""
"クロピドグレル錠２５ｍｇ「ＳＡＮＩＫ」","C18","P","","","","",""
"クロピドグレル錠５０ｍｇ「サワイ」","","","","","","",""
"クロピドグレル錠７５ｍｇ「ＳＡＮＩＫ」","C18","P","","","","",""
"クロピドグレル錠７５ｍｇ「サワイ」","C18","","","","","",""
"クロピドグレル錠２５ｍｇ「ケミファ」","C18","","","","","",""
"ｸﾛﾍﾞﾀｿﾞﾝ酪酸ｴｽﾃﾙ軟膏0.05%｢ｲﾜｷ｣","N3","","","","","",""
"ｸﾛﾍﾞﾀｿﾞｰﾙﾌﾟﾛﾋﾟｵﾝ酸ｴｽﾃﾙｸﾘｰﾑ0.05%｢MYK｣","C5","","","","","",""
"ｸﾛﾍﾞﾀｿﾞｰﾙﾌﾟﾛﾋﾟｵﾝ酸ｴｽﾃﾙ軟膏0.05%｢MYK｣","C5","N2","G10","G11","","",""
"ｸﾛﾍﾞﾀｿﾞｰﾙﾌﾟﾛﾋﾟｵﾝ酸ｴｽﾃﾙﾛｰｼｮﾝ0.05%｢MYK｣","E4","E7","","","","",""
"クロマイ－Ｐ軟膏","","","","","","",""
"クロマイ腟錠１００ｍｇ","C7","","","","","",""
"ケアラム錠２５ｍｇ","E15","C18","","","","",""
"ＫＮ３号輸液","K14","","","","","",""
"ケイキサレートドライシロップ７６％","E25","","","","","",""
"ゲーベンクリーム１％","A2","","","","","",""
"ケタスカプセル１０ｍｇ","C18","","","","","",""
"ケトコナゾールクリーム２％「ＮＲ」","C6","N4","","","","",""
"ケトコナゾールローション２％「ＭＹＫ」","E7","","","","","",""
"ｹﾄﾁﾌｪﾝｼﾛｯﾌﾟ0.02%｢NIG｣","D2","","","","","",""
"ｹﾄﾁﾌｪﾝPF点眼液0.05%｢日点｣","E10","","","","","",""
"ｹﾄﾁﾌｪﾝﾄﾞﾗｲｼﾛｯﾌﾟ0.1%｢NIG｣","E3","","","","","",""
"ｹﾄﾁﾌｪﾝﾄﾞﾗｲｼﾛｯﾌﾟ小児用0.1%｢日医工｣","E3","","","","","",""
"ｹﾄﾌﾟﾛﾌｪﾝﾃｰﾌﾟS20mg｢ﾃｲｺｸ｣","G3","","","","","",""
"ケトプロフェン坐剤７５ｍｇ「ＪＧ」","F","","","","","",""
"ケトプロフェンテープ４０ｍｇ「ＳＮ」","G2","","","","","",""
"ｹﾄﾌﾟﾛﾌｪﾝﾃｰﾌﾟ40mg｢ﾃｲｺｸ｣","G3","","","","","",""
"ｹﾌﾞｻﾞﾗ皮下注200mgｵｰﾄｲﾝｼﾞｪｸﾀｰ","F","","","","","",""
"ケフラールカプセル２５０ｍｇ","C18","","","","","",""
"ケフレックスカプセル２５０ｍｇ","C18","","","","","",""
"ケレンディア錠１０ｍｇ","C18","","","","","",""
"ケレンディア錠２０ｍｇ","C18","","","","","",""
"ゲンタシン軟膏０．１％","C6","N1","","","","",""
"ゲンタマイシン硫酸塩軟膏０．１％「Ｆ」","C6","N1","","","","",""
"正官庄コウジン末","C10","","","","","",""
"コートリル錠１０ｍｇ","C18","","","","","",""
"コールタイジン点鼻液","E9","","","","","",""
"コスパノン錠８０ｍｇ","C18","","","","","",""
"コソプト配合点眼液","E10","","","","","",""
"コタロー大建中湯エキス細粒","A3","","","","","",""
"コデインリン酸塩錠２０ｍｇ「タケダ」","E6","","","","","",""
"コデインリン酸塩錠５ｍｇ「シオエ」","C18","","","","","",""
"コデインリン酸塩散１％「タケダ」","C10","","","","","",""
"コムクロシャンプー０．０５％","E9","","","","","",""
"コルヒチン錠０．５ｍｇ「タカタ」","E15","","","","","",""
"コレクチム軟膏０．２５％","C5","N4","","","","",""
"コレクチム軟膏０．５％","N4","C5","","","","",""
"コロネル錠５００ｍｇ","C18","","","","","",""
"コントミン糖衣錠１００ｍｇ","E15","","","","","",""
"コントミン糖衣錠１２．５ｍｇ","C18","","","","","",""
"コントミン糖衣錠２５ｍｇ","C18","","","","","",""
"コンベック軟膏５％","N4","","","","","",""
"ザーネ軟膏０．５％","E8","G10","","","","",""
"ザイザル錠５ｍｇ","C15","A5","","","","",""
"ザイザルシロップ０．０５％","D3","","","","","",""
"サイトテック錠２００","E16","","","","","",""
"サイレース錠１ｍｇ","E19","","","","","",""
"サインバルタカプセル２０ｍｇ","E16","P","","","","",""
"ザガーロカプセル","E14","","","","","",""
"酢酸亜鉛錠２５ｍｇ「サワイ」","E16","","","","","",""
"酢酸亜鉛錠５０ｍｇ「サワイ」","E16","","","","","",""
"ザズベイカプセル３０ｍｇ","","","","","","",""
"サムスカＯＤ錠７．５ｍｇ","E16","","","","","",""
"サラゾピリン錠５００ｍｇ","C17","","","","","",""
"ｻﾗｿﾞｽﾙﾌｧﾋﾟﾘｼﾞﾝ腸溶錠500mg｢CH｣","C17","","","","","",""
"サリグレンカプセル３０ｍｇ","C17","","","","","",""
"１０％サリチル酸ワセリン軟膏東豊","E8","","","","","",""
"５％サリチル酸ワセリン軟膏東豊","G10","G11","","","","",""
"サリベートエアゾール","E9","","","","","",""
"サルタノールインヘラー１００μｇ","E9","","","","","",""
"ザルトプロフェン錠８０ｍｇ「日医工」","E16","","","","","",""
"ｻﾙﾎﾟｸﾞﾚﾗｰﾄ塩酸塩錠100mg｢ｻﾜｲ｣","C17","","","","","",""
"ｻﾙﾎﾟｸﾞﾚﾗｰﾄ塩酸塩錠50mg｢JG｣","C17","","","","","",""
"酸化マグネシウム細粒８３％「ヨシダ」","C10","","","","","",""
"重質酸化マグネシウム「ケンエー」","A4","","","","","",""
"サンテゾーン０．０５％眼軟膏","C7","N1","","","","",""
"三和葛根加朮附湯エキス細粒","A4","","","","","",""
"ジアゼパム錠５「トーワ」","E19","","","","","",""
"ｼｱﾉｺﾊﾞﾗﾐﾝ点眼液0.02%｢杏林｣","E10","","","","","",""
"ｼｱﾉｺﾊﾞﾗﾐﾝ点眼液0.02%｢ｾﾝｼﾞｭ｣","E10","","","","","",""
"ジェイゾロフト錠５０ｍｇ","E16","","","","","",""
"ジェニナック錠２００ｍｇ","C17","","","","","",""
"ジエノゲストＯＤ錠１ｍｇ「モチダ」","C17","","","","","",""
"ｼﾞｵｸﾁﾙｿｼﾞｳﾑｽﾙﾎｻｸｼﾈｰﾄ耳科用液5%｢CEO｣","E9","","","","","",""
"ジクアス点眼液３％","E10","","","","","",""
"ジクトルテープ７５ｍｇ","G3","","","","","",""
"シグマート錠５ｍｇ","C17","","","","","",""
"ジクロフェナクＮａゲル１％「日本臓器」","G5","","","","","",""
"ジクロフェナクＮａゲル１％「ラクール」","G5","","","","","",""
"ｼﾞｸﾛﾌｪﾅｸﾅﾄﾘｳﾑ坐剤12.5mg｢JG｣","F","","","","","",""
"ｼﾞｸﾛﾌｪﾅｸﾅﾄﾘｳﾑ坐剤25mg｢JG｣","F","","","","","",""
"ｼﾞｸﾛﾌｪﾅｸﾅﾄﾘｳﾑﾃｰﾌﾟ15mg｢ﾃｲｺｸ｣","G5","","","","","",""
"ジスロマック錠２５０ｍｇ","C21","","","","","",""
"ｼﾀﾞｷｭｱｽｷﾞ花粉舌下錠2,000JAU","","","","","","",""
"ｼﾀﾞｷｭｱｽｷﾞ花粉舌下錠5,000JAU","I2","","","","","",""
"シタフロキサシン錠５０ｍｇ「サワイ」","C17","","","","","",""
"シナール配合錠","C16","A5","","","","",""
"シナール配合顆粒","E3","","","","","",""
"ジプレキサザイディス錠２．５ｍｇ","E16","","","","","",""
"ｼﾞﾌﾙﾌﾟﾚﾄﾞﾅｰﾄｸﾘｰﾑ0.05%｢ｲﾜｷ｣","C3","G11","G7","A2","","",""
"ｼﾞﾌﾙﾌﾟﾚﾄﾞﾅｰﾄ軟膏0.05%｢ｲﾜｷ｣","C3","A2","C8","B5","G10","E8","B6"
"ｼﾞﾌﾙﾌﾟﾚﾄﾞﾅｰﾄﾛｰｼｮﾝ0.05%｢ｲﾜｷ｣","C7","A2","N2","","","",""
"ｼﾞﾌﾛﾗｿﾞﾝ酢酸ｴｽﾃﾙ軟膏0.05%｢YD｣","C3","","","","","",""
"シムビコートタービュヘイラー６０吸入","E9","","","","","",""
"シメチジン錠２００ｍｇ「サワイ」","C17","","","","","",""
"ジメチコン錠４０ｍｇ「ＹＤ」","C17","P","","","","",""
"ジメチコン錠８０ｍｇ「ホリイ」","C17","","","","","",""
"ジャディアンス錠１０ｍｇ","C17","P","","","","",""
"ジャディアンス錠２５ｍｇ","C17","","","","","",""
"ジャヌビア錠１００ｍｇ","C17","","","","","",""
"ジャヌビア錠１２．５ｍｇ","C17","","","","","",""
"ジャヌビア錠２５ｍｇ","C17","","","","","",""
"ジャヌビア錠５０ｍｇ","C17","P","","","","",""
"重質酸化マグネシウム　シオエ","C10","","","","","",""
"硝酸ｲｿｿﾙﾋﾞﾄﾞ徐放錠20mg｢ｻﾜｲ｣","C19","","","","","",""
"硝酸ｲｿｿﾙﾋﾞﾄﾞ徐放ｶﾌﾟｾﾙ20mg｢St｣","C19","","","","","",""
"硝酸ｲｿｿﾙﾋﾞﾄﾞﾃｰﾌﾟ40mg｢EMEC｣","E5","","","","","",""
"ｼﾞﾙﾁｱｾﾞﾑ塩酸塩Rｶﾌﾟｾﾙ100mg｢ｻﾜｲ｣","C17","","","","","",""
"ジルテック錠１０","C15","","","","","",""
"シルニジピン錠１０ｍｇ「サワイ」","C17","P","","","","",""
"シルニジピン錠５ｍｇ「サワイ」","C17","","","","","",""
"ジルムロ配合錠ＨＤ「武田テバ」","E16","","","","","",""
"ジルムロ配合錠ＬＤ「武田テバ」","E16","","","","","",""
"ｼﾛｽﾀｿﾞｰﾙOD錠100mg｢VTRS｣","C17","","","","","",""
"ｼﾛｽﾀｿﾞｰﾙOD錠100mg｢ﾀｶﾀ｣","C17","","","","","",""
"ｼﾛｽﾀｿﾞｰﾙOD錠50mg｢VTRS｣","C17","","","","","",""
"シロドシン錠４ｍｇ「ＤＳＥＰ」","E16","","","","","",""
"シロドシンＯＤ錠４ｍｇ「ＤＳＥＰ」","E16","P","","","","",""
"シングレア錠１０ｍｇ","C17","","","","","",""
"ジンタス錠５０ｍｇ","E16","","","","","",""
"シンレスタール錠２５０ｍｇ","C17","","","","","",""
"新レシカルボン坐剤","F","","","","","",""
"スイニー錠１００ｍｇ","C17","","","","","",""
"スインプロイク錠０．２ｍｇ","C17","","","","","",""
"スーグラ錠２５ｍｇ","C17","","","","","",""
"スーグラ錠５０ｍｇ","C17","","","","","",""
"スージャヌ配合錠","C17","","","","","",""
"スクラルファート内用液１０％「ＮＩＧ」","E3","","","","","",""
"スクラルファート細粒９０％「ツルハラ」","E3","","","","","",""
"スタデルムクリーム５％","C2","A2","","","","",""
"スタデルム軟膏５％","C2","A2","","","","",""
"スタレボ配合錠Ｌ１００","C17","","","","","",""
"スチックゼノールＡ","A2","","","","","",""
"ステリクロンＷ液０．０５","D4","","","","","",""
"ステリクロンＷ液０．０２(０．０２％)","D4","","","","","",""
"ストミンＡ配合錠","C17","","","","","",""
"ストロカイン錠５ｍｇ","C17","","","","","",""
"スピール膏Ｍ","E5","","","","","",""
"スピオルトレスピマット６０吸入","E9","","","","","",""
"ｽﾋﾟﾘｰﾊﾞ2.5μgﾚｽﾋﾟﾏｯﾄ60吸入","E9","","","","","",""
"ｽﾋﾟﾘｰﾊﾞ1.25μgﾚｽﾋﾟﾏｯﾄ60吸入(75μg)","E9","","","","","",""
"スピロノラクトン錠２５ｍｇ「トーワ」","C17","P","","","","",""
"ズファジラン錠１０ｍｇ","C17","","","","","",""
"スミスリンローション５％","E9","","","","","",""
"スルピリド錠５０ｍｇ「アメル」","C17","","","","","",""
"精製水「ケンエー」","","","","","","",""
"ｾｲﾛｶﾞﾝ糖衣A 84錠(999999999955)","","","","","","",""
"セクターローション３％","A2","","","","","",""
"ゼスラン錠３ｍｇ","C17","","","","","",""
"ゼチーア錠１０ｍｇ","C17","","","","","",""
"ｾﾁﾌﾟﾁﾘﾝﾏﾚｲﾝ酸塩錠1mg｢ｻﾜｲ｣","E16","","","","","",""
"セチリジン塩酸塩錠１０ｍｇ「トーワ」","C17","","","","","",""
"セパミット－Ｒ細粒２％","E3","","","","","",""
"ゼビアックス油性クリーム２％","N4","C1","","","","",""
"ゼビアックスローション２％","E4","G7","","","","",""
"セファランチン錠１ｍｇ","C17","","","","","",""
"セファドール錠２５ｍｇ","C17","","","","","",""
"セファクロルカプセル２５０ｍｇ「ＳＷ」","C17","","","","","",""
"セファランチン末１％","C16","","","","","",""
"セファレキシン錠２５０ｍｇ「日医工」","C17","","","","","",""
"ｾﾌｶﾍﾟﾝﾋﾟﾎﾞｷｼﾙ塩酸塩錠100mg｢SW｣","C17","","","","","",""
"ｾﾌｶﾍﾟﾝﾋﾟﾎﾞｷｼﾙ塩酸塩小児用細粒10%｢SW｣","E3","","","","","",""
"ｾﾌｶﾍﾟﾝ ﾋﾟﾎﾞｷｼﾙ塩酸塩錠100mg｢SW｣","","","","","","",""
"ｾﾌｼﾞﾄﾚﾝﾋﾟﾎﾞｷｼﾙ錠100mg｢ﾄｰﾜ｣","C17","","","","","",""
"ｾﾌﾄﾘｱｷｿﾝﾅﾄﾘｳﾑ点滴用1gﾊﾞｯｸﾞ｢NP｣","A3","","","","","",""
"ゼフナート外用液２％","E7","","","","","",""
"ゼフナートクリーム２％","C1","N1","","","","",""
"ｾﾌﾎﾟﾄﾞｷｼﾑﾌﾟﾛｷｾﾁﾙ錠100mg｢SW｣","C17","","","","","",""
"ゼポラスパップ４０ｍｇ","I4","","","","","",""
"セララ錠２５ｍｇ","C17","","","","","",""
"セララ錠５０ｍｇ","C17","","","","","",""
"セルタッチテープ７０","I4","","","","","",""
"セルタッチパップ７０","G3","","","","","",""
"セルトラリン錠２５ｍｇ「サワイ」","E16","","","","","",""
"セルトラリン錠５０ｍｇ「サワイ」","E16","","","","","",""
"セルニルトン錠","C17","","","","","",""
"セルベックスカプセル５０ｍｇ","C17","P","","","","",""
"セレコックス錠１００ｍｇ","E16","","","","","",""
"セレコキシブ錠１００ｍｇ「ＶＴＲＳ」","E16","P","","","","",""
"セレスタミン配合錠","C17","","","","","",""
"セレナール錠５","E19","","","","","",""
"セレニカＲ錠４００ｍｇ","C17","","","","","",""
"セレニカＲ顆粒４０％","E3","","","","","",""
"ゼローダ錠３００","E16","","","","","",""
"セロクエル２５ｍｇ錠","E16","","","","","",""
"センノシド錠１２ｍｇ「サワイ」","E14","P","","","","",""
"ゾコーバ錠１２５ｍｇ","G6","","","","","",""
"ゾニサミド錠１００ｍｇ「アメル」","E16","","","","","",""
"ｿﾞﾆｻﾐﾄﾞOD錠25mgTRE｢DSEP｣","E16","","","","","",""
"ｿﾞﾆｻﾐﾄﾞOD錠50mgTRE｢DSEP｣","E16","","","","","",""
"ｿﾞﾆｻﾐﾄﾞOD錠50mgTRE｢ｹﾐﾌｧ｣","E16","","","","","",""
"ゾピクロン錠７．５ｍｇ「トーワ」","E19","","","","","",""
"ゾビラックス錠２００","C17","","","","","",""
"ゾビラックス眼軟膏３％","C7","","","","","",""
"ゾビラックスクリーム５％","C1","","","","","",""
"ゾフルーザ錠２０ｍｇ","G6","","","","","",""
"ソラナックス０．４ｍｇ錠","E19","","","","","",""
"ソランタール錠１００ｍｇ","C17","","","","","",""
"ソリタ－Ｔ１号輸液","K13","","","","","",""
"ソリタ－Ｔ３号輸液","K13","","","","","",""
"ソリタ－Ｔ３号Ｇ輸液","K13","","","","","",""
"ソリタ－Ｔ配合顆粒２号","G10","","","","","",""
"ソリタ－Ｔ配合顆粒３号","G10","","","","","",""
"ｿﾘﾌｪﾅｼﾝｺﾊｸ酸塩OD錠2.5mg｢ｻﾜｲ｣","C17","","","","","",""
"ｿﾘﾌｪﾅｼﾝｺﾊｸ酸塩OD錠5mg｢ｻﾜｲ｣","C17","P","","","","",""
"ソルデム３ＡＧ輸液","I2","","","","","",""
"ゾルトファイ配合注　フレックスタッチ","F","","","","","",""
"ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」","E19","","","","","",""
"ゾルピデム酒石酸塩錠５ｍｇ「トーワ」","E19","","","","","",""
"ゾルピデム酒石酸塩錠５ｍｇ「ＮＩＧ」","E19","P","","","","",""
"ダーブロック錠２ｍｇ","E16","","","","","",""
"ダーブロック錠４ｍｇ","E16","","","","","",""
"ダイアート錠３０ｍｇ","E11","","","","","",""
"ダイアコートクリーム０．０５％","N4","","","","","",""
"ダイアップ坐剤１０","N3","","","","","",""
"ダイアップ坐剤６","N3","","","","","",""
"ダイアコート軟膏０．０５％","C4","N4","","","","",""
"ダイフェン配合錠","E11","","","","","",""
"タクロリムスカプセル１ｍｇ「ＶＴＲＳ」","E16","","","","","",""
"タクロリムス軟膏０．１％「ＰＰ」","N2","","","","","",""
"タケキャブ錠１０ｍｇ","E11","P","","","","",""
"タケキャブ錠２０ｍｇ","E11","","","","","",""
"タケキャブＯＤ錠１０ｍｇ","E11","","","","","",""
"タケキャブＯＤ錠２０ｍｇ","E11","","","","","",""
"タケプロンＯＤ錠１５","E11","","","","","",""
"タケプロンＯＤ錠３０","E11","","","","","",""
"タケルダ配合錠","E11","","","","","",""
"タゾピペ配合静注用４．５「明治」","N3","","","","","",""
"タダラフィル錠５ｍｇＺＡ「シオエ」","E11","","","","","",""
"ダパグリフロジン錠５ｍｇ「サワイ」","","","","","","",""
"ﾀﾌﾙﾌﾟﾛｽﾄ点眼液0.0015%｢NIT｣","E10","","","","","",""
"タプロスミニ点眼液０．００１５％","F","","","","","",""
"タミフルカプセル７５","E11","","","","","",""
"タミフルドライシロップ３％","F","","","","","",""
"ﾀﾑｽﾛｼﾝ塩酸塩OD錠0.2mg｢明治｣","E11","P","","","","",""
"ﾀﾑｽﾛｼﾝ塩酸塩OD錠0.2mg｢ｻﾜｲ｣","","","","","","",""
"タモキシフェン錠２０ｍｇ「サワイ」","E11","","","","","",""
"ダラシンＴゲル１％","C4","N1","","","","",""
"ダラシンＴローション１％","C4","","","","","",""
"ダラシンカプセル１５０ｍｇ","E11","","","","","",""
"タリージェ錠２．５ｍｇ","E11","","","","","",""
"タリージェ錠５ｍｇ","E11","","","","","",""
"タリージェＯＤ錠１５ｍｇ","E11","","","","","",""
"タリージェＯＤ錠２．５ｍｇ","E11","","","","","",""
"タリージェＯＤ錠５ｍｇ","E11","","","","","",""
"タリオン錠１０ｍｇ","C13","","","","","",""
"タリオンＯＤ錠１０ｍｇ","E11","","","","","",""
"タリビッド眼軟膏０．３％","C7","N1","","","","",""
"タリビッド耳科用液０．３％","E9","","","","","",""
"タリビッド点眼液０．３％","E10","","","","","",""
"タルチレリンＯＤ錠５ｍｇ「日医工」","E11","","","","","",""
"炭酸水素ナトリウム「ＶＴＲＳ」原末","C10","","","","","",""
"炭酸リチウム錠１００ｍｇ「大正」","E16","","","","","",""
"炭酸リチウム錠２００ｍｇ「大正」","E16","","","","","",""
"炭酸水素ﾅﾄﾘｳﾑ錠500mg｢VTRS｣","E11","","","","","",""
"炭酸ランタンＯＤ錠２５０ｍｇ「ＦＣＩ」","O","","","","","",""
"炭酸ランタンＯＤ錠２５０ｍｇ「フソー」","O","","","","","",""
"炭酸リチウム錠２００ｍｇ「アメル」","E16","","","","","",""
"単シロップ「ケンエー」","D4","","","","","",""
"ﾀﾝﾄﾞｽﾋﾟﾛﾝｸｴﾝ酸塩錠10mg｢ｻﾜｲ｣","E16","","","","","",""
"タンニン酸アルブミン「ＶＴＲＳ」原末","C11","","","","","",""
"タンボコール錠５０ｍｇ","E16","","","","","",""
"チアトンカプセル１０ｍｇ","E12","","","","","",""
"チアプリド錠２５ｍｇ「サワイ」","E12","P","","","","",""
"チアプリド錠５０ｍｇ「サワイ」","E12","","","","","",""
"チウラジール錠５０ｍｇ","E12","","","","","",""
